sp,chr,loc,score,msp,mchr,mloc
chimp,2B,0,593,chimp,22,34000000,inversed
chimp,2B,0,359,human,22,34000000,inversed
gorilla,3,138000000,2154,chimp,3,138000000,same orientation
chimp,6,70000000,1926,human,6,68000000,same orientation
chimp,6,70000000,1808,gorilla,6,70000000,same orientation
gorilla,7,12000000,2159,chimp,7,10000000,same orientation
gorilla,7,12000000,2035,human,7,11000000,same orientation
human,15,69000000,2368,chimp,15,70000000,inversed
gorilla,5,31000000,1192,chimp,17,47000000,inversed
chimp,16,65000000,1990,gorilla,16,67000000,same orientation
gorilla,2B,18000000,2052,human,2,123000000,inversed
human,8,108000000,2333,gorilla,8,111000000,same orientation
gorilla,1,67000000,2422,human,1,67000000,inversed
gorilla,1,67000000,2312,chimp,1,65000000,inversed
chimp,6,3000000,1956,human,6,23000000,inversed
chimp,6,3000000,1736,gorilla,6,24000000,inversed
chimp,3,58000000,2101,gorilla,3,58000000,same orientation
chimp,16,52000000,2335,human,16,50000000,same orientation
chimp,16,52000000,1975,gorilla,16,54000000,same orientation
gorilla,1,150000000,2198,chimp,1,163000000,inversed
gorilla,1,150000000,2106,human,1,175000000,inversed
chimp,1,58000000,2430,gorilla,1,74000000,inversed
chimp,6,47000000,2004,gorilla,6,47000000,same orientation
gorilla,8,120000000,2256,chimp,8,106000000,inversed
gorilla,7,25000000,1977,chimp,7,23000000,same orientation
gorilla,7,25000000,1944,human,7,24000000,same orientation
gorilla,1,228000000,1654,human,1,217000000,same orientation
gorilla,1,228000000,1424,chimp,1,223000000,same orientation
gorilla,1,228000000,415,chimp,1,224000000,same orientation
gorilla,4,48000000,319,human,4,46000000,inversed
gorilla,4,48000000,283,chimp,4,111000000,inversed
chimp,16,0,623,human,16,2000000,same orientation
chimp,16,0,251,gorilla,16,0,same orientation
human,12,111000000,2203,chimp,12,104000000,inversed
human,5,135000000,1981,chimp,5,160000000,same orientation
gorilla,6,44000000,1803,chimp,6,43000000,same orientation
chimp,7,26000000,2123,human,7,26000000,same orientation
chimp,7,26000000,1711,gorilla,7,27000000,same orientation
chimp,3,183000000,2211,gorilla,3,183000000,same orientation
chimp,3,195000000,2273,human,3,127000000,inversed
human,15,5000000,2219,chimp,15,4000000,same orientation
human,15,5000000,2108,gorilla,15,5000000,same orientation
human,2,36000000,2007,chimp,2A,38000000,inversed
chimp,20,21000000,1957,human,20,5000000,inversed
chimp,20,21000000,1876,gorilla,20,5000000,inversed
chimp,20,28000000,972,gorilla,11,51000000,same orientation
chimp,20,28000000,904,chimp,19,19000000,same orientation
chimp,20,28000000,899,chimp,5,64000000,same orientation
chimp,20,28000000,890,human,5,46000000,same orientation
chimp,20,28000000,883,chimp,3,92000000,same orientation
chimp,20,28000000,876,gorilla,7,59000000,same orientation
human,6,60000000,1261,chimp,6,61000000,inversed
human,6,60000000,1043,chimp,6,62000000,inversed
human,6,60000000,741,gorilla,6,61000000,inversed
gorilla,X,25000000,2498,chimp,X,33000000,inversed
chimp,17,33000000,884,human,17,16000000,same orientation
chimp,17,33000000,251,gorilla,5,21000000,same orientation
gorilla,5,100000000,2414,human,5,109000000,inversed
chimp,4,113000000,273,human,X,55000000,same orientation
gorilla,22,7000000,2022,chimp,22,6000000,same orientation
gorilla,22,7000000,1906,human,22,6000000,same orientation
gorilla,18,19000000,1983,human,18,40000000,inversed
chimp,X,74000000,2500,human,X,64000000,inversed
chimp,X,74000000,2286,gorilla,X,69000000,inversed
chimp,X,74000000,373,human,X,65000000,inversed
human,X,114000000,2328,chimp,X,122000000,same orientation
human,X,114000000,2013,gorilla,X,122000000,same orientation
gorilla,8,97000000,2001,human,8,94000000,same orientation
chimp,2A,27000000,2051,human,2,46000000,inversed
chimp,2A,27000000,537,gorilla,2A,47000000,inversed
gorilla,10,59000000,1264,human,10,43000000,same orientation
gorilla,10,59000000,989,chimp,10,44000000,same orientation
gorilla,10,59000000,505,chimp,10,47000000,same orientation
human,4,45000000,2006,chimp,4,109000000,same orientation
human,4,45000000,1959,gorilla,4,46000000,same orientation
gorilla,1,114000000,1923,human,1,109000000,same orientation
gorilla,15,46000000,2105,chimp,15,44000000,same orientation
human,19,20000000,1591,gorilla,19,20000000,same orientation
human,19,20000000,262,chimp,19,24000000,same orientation
gorilla,4,116000000,2251,chimp,4,86000000,inversed
gorilla,7,9000000,1862,human,7,8000000,same orientation
gorilla,7,9000000,1799,chimp,7,7000000,same orientation
gorilla,14,27000000,2088,chimp,14,27000000,same orientation
gorilla,14,27000000,2027,human,14,26000000,same orientation
human,11,51000000,1136,gorilla,11,51000000,inversed
human,11,51000000,978,human,7,58000000,inversed
human,11,51000000,968,chimp,7,207000000,inversed
human,11,51000000,923,chimp,7,59000000,inversed
human,11,51000000,869,chimp,7,204000000,inversed
human,11,51000000,868,chimp,11,51000000,inversed
human,11,51000000,791,gorilla,7,60000000,inversed
human,11,51000000,646,human,7,59000000,inversed
human,11,51000000,630,chimp,11,49000000,inversed
gorilla,2B,76000000,528,human,2,180000000,inversed
gorilla,2B,76000000,514,chimp,2B,75000000,inversed
human,10,15000000,2243,chimp,10,37000000,same orientation
chimp,22,4000000,2313,human,22,4000000,same orientation
human,1,158000000,2379,chimp,1,145000000,same orientation
human,22,11000000,1745,gorilla,22,11000000,same orientation
chimp,6,108000000,2428,gorilla,6,107000000,same orientation
chimp,21,36000000,4394,chimp,7,161000000,inversed
chimp,21,36000000,3786,chimp,7,160000000,inversed
chimp,21,36000000,356,chimp,Y,10000000,inversed
chimp,21,36000000,336,chimp,Y,14000000,inversed
chimp,21,36000000,314,chimp,1,228000000,inversed
chimp,21,36000000,308,chimp,Y,2000000,inversed
chimp,8,94000000,2391,human,8,129000000,same orientation
chimp,1,198000000,1807,gorilla,1,202000000,same orientation
human,X,46000000,2042,gorilla,X,49000000,same orientation
human,5,24000000,2136,chimp,5,85000000,same orientation
human,5,24000000,2042,gorilla,17,70000000,same orientation
human,19,12000000,1471,gorilla,19,11000000,inversed
gorilla,2A,48000000,1828,human,2,47000000,same orientation
human,3,21000000,2443,chimp,3,56000000,inversed
human,3,21000000,2357,gorilla,3,56000000,inversed
chimp,1,36000000,2008,human,1,26000000,inversed
chimp,1,36000000,1658,gorilla,1,29000000,inversed
gorilla,15,75000000,2160,chimp,15,67000000,inversed
gorilla,15,75000000,2023,human,15,73000000,inversed
chimp,3,153000000,2375,human,3,168000000,inversed
chimp,5,60000000,2360,human,5,50000000,inversed
chimp,5,60000000,2282,gorilla,17,42000000,inversed
human,X,71000000,2262,chimp,X,68000000,same orientation
human,5,13000000,1740,gorilla,17,80000000,same orientation
gorilla,11,23000000,1528,chimp,11,30000000,inversed
gorilla,11,23000000,1481,human,11,36000000,inversed
gorilla,14,10000000,2222,chimp,14,9000000,same orientation
gorilla,14,10000000,2219,human,14,9000000,same orientation
human,10,80000000,1498,gorilla,10,92000000,inversed
human,10,22000000,1970,chimp,10,13000000,same orientation
human,8,58000000,2612,chimp,8,59000000,same orientation
human,8,58000000,2427,gorilla,8,59000000,same orientation
chimp,9,75000000,2664,human,9,64000000,inversed
chimp,9,75000000,2426,gorilla,9,74000000,inversed
gorilla,18,5000000,1082,human,18,5000000,same orientation
gorilla,18,5000000,1000,human,18,4000000,same orientation
gorilla,1,123000000,1500,human,1,118000000,same orientation
gorilla,1,123000000,1393,chimp,1,119000000,same orientation
chimp,11,83000000,1262,gorilla,11,83000000,same orientation
chimp,7,103000000,1806,gorilla,10,19000000,inversed
chimp,7,103000000,1748,chimp,10,19000000,inversed
chimp,7,103000000,620,chimp,9,42000000,inversed
chimp,7,103000000,576,gorilla,9,49000000,inversed
chimp,7,103000000,557,chimp,10,133000000,inversed
chimp,7,103000000,546,chimp,9,41000000,inversed
chimp,7,103000000,397,chimp,9,114000000,inversed
gorilla,15,71000000,1895,human,15,67000000,same orientation
chimp,12,72000000,2032,gorilla,12,80000000,inversed
human,19,17000000,1819,chimp,19,18000000,same orientation
human,19,17000000,1706,gorilla,19,17000000,same orientation
human,2,58000000,2912,chimp,2A,15000000,inversed
gorilla,X,89000000,899,human,Y,2000000,same orientation
human,9,39000000,895,gorilla,9,40000000,same orientation
human,9,39000000,803,chimp,9,40000000,same orientation
human,9,39000000,595,chimp,9,116000000,same orientation
human,9,39000000,334,gorilla,9,41000000,same orientation
human,9,39000000,251,gorilla,9,45000000,same orientation
human,11,43000000,2449,chimp,11,37000000,same orientation
chimp,16,24000000,1982,human,16,24000000,inversed
chimp,16,24000000,1671,gorilla,16,27000000,inversed
gorilla,1,196000000,2354,human,1,184000000,inversed
gorilla,8,33000000,2155,human,8,34000000,inversed
gorilla,8,33000000,2078,chimp,8,26000000,inversed
human,22,15000000,1669,chimp,22,35000000,inversed
human,22,15000000,1669,chimp,22,19000000,inversed
chimp,1,96000000,2420,human,1,89000000,same orientation
human,10,28000000,2392,chimp,10,8000000,inversed
human,10,28000000,2124,gorilla,10,8000000,inversed
human,X,123000000,2068,chimp,X,131000000,same orientation
human,X,123000000,1686,gorilla,X,132000000,same orientation
human,Y,10000000,604,gorilla,X,2000000,same orientation
human,Y,10000000,465,human,X,0,same orientation
human,Y,10000000,418,chimp,X,2000000,same orientation
gorilla,10,102000000,2125,chimp,10,121000000,inversed
gorilla,10,102000000,2107,human,10,92000000,inversed
gorilla,7,155000000,2009,chimp,7,156000000,same orientation
human,4,72000000,1855,gorilla,4,83000000,same orientation
human,4,72000000,264,gorilla,4,84000000,same orientation
chimp,9,16000000,2654,gorilla,9,16000000,inversed
gorilla,3,2000000,995,chimp,3,1000000,same orientation
gorilla,3,2000000,946,chimp,3,2000000,same orientation
gorilla,2B,85000000,2253,chimp,2B,84000000,same orientation
gorilla,2B,85000000,2241,human,2,189000000,same orientation
gorilla,11,40000000,1847,chimp,11,14000000,inversed
gorilla,11,40000000,1827,human,11,19000000,inversed
human,2,93000000,2219,chimp,2A,101000000,inversed
human,2,93000000,2075,gorilla,2A,102000000,inversed
chimp,13,18000000,2179,gorilla,13,18000000,same orientation
gorilla,22,1000000,2245,human,22,1000000,inversed
chimp,3,130000000,2107,human,3,191000000,inversed
gorilla,15,16000000,2274,human,15,15000000,inversed
gorilla,15,16000000,2242,chimp,15,19000000,inversed
gorilla,7,70000000,1267,chimp,7,69000000,same orientation
gorilla,7,70000000,842,chimp,7,212000000,same orientation
chimp,1,55000000,2193,gorilla,1,77000000,inversed
human,5,160000000,2031,chimp,5,148000000,same orientation
chimp,12,79000000,2303,human,12,55000000,same orientation
chimp,7,73000000,1677,human,7,65000000,same orientation
gorilla,6,11000000,1790,human,6,10000000,same orientation
human,4,107000000,1324,chimp,4,82000000,inversed
gorilla,8,126000000,2010,human,8,122000000,same orientation
human,4,186000000,2303,chimp,4,190000000,same orientation
human,4,186000000,1890,gorilla,4,200000000,same orientation
chimp,2B,105000000,1785,human,2,209000000,same orientation
chimp,2B,105000000,929,gorilla,2B,106000000,same orientation
chimp,2B,105000000,568,gorilla,2B,105000000,same orientation
chimp,12,11000000,2482,human,12,20000000,inversed
chimp,12,11000000,2200,gorilla,12,20000000,inversed
chimp,4,146000000,2315,gorilla,4,155000000,same orientation
chimp,4,146000000,2208,human,4,141000000,same orientation
chimp,1,219000000,2221,human,1,213000000,inversed
chimp,1,219000000,674,human,Y,10000000,inversed
chimp,12,119000000,2332,human,12,83000000,same orientation
chimp,12,131000000,2421,gorilla,12,86000000,inversed
human,3,116000000,2499,chimp,3,94000000,same orientation
gorilla,13,94000000,1985,chimp,13,93000000,same orientation
chimp,7,160000000,994,chimp,20,27000000,inversed
chimp,7,160000000,881,chimp,20,26000000,inversed
chimp,7,160000000,864,human,Y,7000000,inversed
chimp,7,160000000,853,human,3,90000000,inversed
chimp,7,160000000,846,chimp,3,92000000,inversed
chimp,7,160000000,842,chimp,20,29000000,inversed
chimp,7,160000000,820,human,5,46000000,inversed
chimp,7,160000000,787,gorilla,16,34000000,inversed
chimp,7,160000000,752,chimp,1,124000000,inversed
gorilla,X,28000000,2467,chimp,X,30000000,inversed
chimp,17,66000000,1630,human,17,62000000,same orientation
gorilla,3,39000000,2324,chimp,3,38000000,same orientation
chimp,6,118000000,2589,human,6,143000000,inversed
gorilla,9,81000000,2199,human,9,87000000,inversed
gorilla,9,81000000,2134,chimp,9,68000000,inversed
gorilla,10,39000000,1990,human,10,33000000,inversed
gorilla,10,39000000,1911,chimp,10,22000000,inversed
human,1,206000000,1926,chimp,1,211000000,same orientation
human,1,206000000,1209,gorilla,1,215000000,same orientation
chimp,2B,132000000,1094,chimp,15,81000000,same orientation
chimp,2B,132000000,448,human,2,141000000,same orientation
chimp,2B,132000000,418,human,2,123000000,same orientation
chimp,2B,132000000,406,chimp,14,0,same orientation
chimp,2B,132000000,353,chimp,22,0,same orientation
chimp,2B,132000000,277,human,22,2000000,same orientation
chimp,4,171000000,1857,human,4,166000000,same orientation
chimp,4,171000000,1657,gorilla,4,180000000,same orientation
human,3,121000000,333,gorilla,3,123000000,same orientation
chimp,17,51000000,1897,human,17,8000000,same orientation
chimp,17,51000000,1498,gorilla,17,8000000,same orientation
human,5,157000000,2330,chimp,5,145000000,same orientation
gorilla,5,94000000,1924,human,5,115000000,inversed
chimp,2A,44000000,1908,human,2,30000000,inversed
chimp,2A,44000000,1686,gorilla,2A,30000000,inversed
chimp,7,44000000,1696,human,7,44000000,same orientation
chimp,7,44000000,1242,gorilla,7,45000000,same orientation
chimp,X,17000000,2274,gorilla,X,42000000,inversed
gorilla,11,119000000,2251,human,11,122000000,inversed
gorilla,11,119000000,2213,chimp,11,101000000,inversed
gorilla,11,119000000,351,human,5,133000000,inversed
gorilla,6,26000000,1969,human,6,25000000,same orientation
gorilla,8,111000000,1425,human,8,108000000,same orientation
gorilla,8,111000000,684,human,8,107000000,same orientation
human,1,187000000,2281,chimp,1,189000000,inversed
human,1,187000000,2184,gorilla,1,193000000,inversed
human,3,42000000,2515,chimp,3,35000000,inversed
human,3,42000000,2121,gorilla,3,35000000,inversed
gorilla,10,91000000,1664,human,10,68000000,inversed
gorilla,10,91000000,1542,chimp,10,73000000,inversed
gorilla,9,29000000,2083,chimp,9,3000000,inversed
gorilla,9,29000000,1973,human,9,7000000,inversed
gorilla,7,47000000,1961,chimp,7,45000000,same orientation
gorilla,7,47000000,1929,human,7,45000000,same orientation
chimp,6,25000000,2220,human,6,1000000,same orientation
human,15,64000000,2355,chimp,15,75000000,inversed
chimp,16,30000000,2227,human,16,28000000,same orientation
chimp,16,30000000,2014,gorilla,16,31000000,same orientation
gorilla,2B,15000000,1710,chimp,2B,8000000,inversed
gorilla,2B,15000000,1675,human,2,121000000,inversed
human,11,32000000,2286,gorilla,11,27000000,inversed
chimp,12,84000000,2275,gorilla,12,68000000,inversed
gorilla,8,110000000,2273,chimp,8,116000000,inversed
human,5,146000000,2191,chimp,5,171000000,same orientation
chimp,19,3000000,1430,human,19,2000000,same orientation
chimp,19,3000000,1000,gorilla,19,2000000,same orientation
chimp,19,3000000,361,gorilla,19,3000000,same orientation
chimp,1,68000000,1876,gorilla,1,64000000,inversed
gorilla,1,160000000,2127,chimp,1,153000000,inversed
gorilla,1,160000000,1956,human,1,165000000,inversed
gorilla,8,100000000,2107,human,8,97000000,same orientation
gorilla,6,37000000,1942,chimp,6,36000000,same orientation
gorilla,6,37000000,1732,human,6,35000000,same orientation
chimp,7,55000000,1462,human,7,55000000,same orientation
chimp,7,55000000,1344,gorilla,7,57000000,same orientation
gorilla,3,28000000,1757,chimp,3,27000000,same orientation
gorilla,X,8000000,2319,chimp,X,8000000,inversed
chimp,4,160000000,2099,human,4,155000000,same orientation
chimp,4,160000000,1977,gorilla,4,169000000,same orientation
chimp,2B,123000000,1967,human,2,227000000,same orientation
chimp,2B,123000000,1783,gorilla,2B,124000000,same orientation
chimp,17,40000000,971,human,17,53000000,same orientation
chimp,17,40000000,327,gorilla,5,23000000,same orientation
gorilla,5,130000000,1990,human,5,143000000,inversed
gorilla,5,130000000,1958,chimp,5,168000000,inversed
chimp,20,11000000,2489,human,20,15000000,inversed
chimp,20,11000000,2480,gorilla,20,15000000,inversed
chimp,X,0,582,gorilla,X,0,same orientation
gorilla,X,15000000,1138,chimp,X,43000000,inversed
human,6,50000000,2220,chimp,6,47000000,inversed
human,6,50000000,1875,gorilla,6,48000000,inversed
chimp,5,96000000,1781,gorilla,5,82000000,inversed
human,18,35000000,2178,chimp,18,21000000,inversed
human,18,35000000,1983,gorilla,18,24000000,inversed
chimp,16,21000000,1194,human,16,73000000,same orientation
chimp,16,21000000,744,gorilla,16,78000000,same orientation
chimp,16,21000000,633,human,16,19000000,same orientation
gorilla,X,102000000,2125,human,X,94000000,inversed
gorilla,X,102000000,2110,chimp,X,96000000,inversed
human,10,76000000,2380,chimp,10,82000000,inversed
human,10,76000000,2253,gorilla,10,97000000,inversed
human,12,121000000,1168,gorilla,12,126000000,inversed
human,12,121000000,699,gorilla,12,127000000,inversed
chimp,6,34000000,2299,human,6,33000000,same orientation
chimp,6,34000000,2215,gorilla,6,34000000,same orientation
gorilla,7,56000000,2033,human,7,54000000,same orientation
gorilla,7,56000000,1456,chimp,7,54000000,same orientation
gorilla,7,56000000,665,chimp,7,53000000,same orientation
chimp,9,83000000,2213,gorilla,9,87000000,inversed
gorilla,4,78000000,2006,chimp,4,61000000,inversed
gorilla,11,124000000,1966,human,11,117000000,inversed
gorilla,11,124000000,1907,chimp,11,96000000,inversed
gorilla,18,47000000,1430,chimp,18,71000000,inversed
gorilla,18,47000000,870,chimp,18,72000000,inversed
gorilla,7,61000000,1989,chimp,7,60000000,same orientation
gorilla,7,61000000,1893,human,7,59000000,same orientation
human,8,8000000,1745,chimp,8,10000000,inversed
human,8,8000000,1691,gorilla,8,10000000,inversed
human,5,142000000,2217,gorilla,5,131000000,inversed
human,7,81000000,2461,chimp,7,95000000,inversed
human,7,81000000,2300,gorilla,7,93000000,inversed
gorilla,14,52000000,2009,human,14,74000000,inversed
chimp,6,125000000,2278,human,6,136000000,inversed
gorilla,2B,94000000,1838,chimp,2B,93000000,same orientation
gorilla,2B,94000000,1796,human,2,198000000,same orientation
gorilla,11,119000000,453,gorilla,5,75000000,same orientation
gorilla,11,119000000,320,chimp,5,39000000,same orientation
gorilla,2A,105000000,2162,human,2,101000000,same orientation
chimp,4,47000000,2193,human,4,80000000,inversed
chimp,4,47000000,1785,gorilla,4,92000000,inversed
gorilla,1,57000000,2045,chimp,1,74000000,inversed
gorilla,1,57000000,2021,human,1,76000000,inversed
gorilla,2B,28000000,2130,human,2,132000000,inversed
chimp,4,157000000,2423,human,4,152000000,same orientation
chimp,4,157000000,1926,gorilla,4,166000000,same orientation
human,7,99000000,2206,chimp,7,173000000,same orientation
chimp,2B,114000000,2083,gorilla,2B,115000000,same orientation
chimp,22,3000000,2357,human,22,3000000,inversed
chimp,17,77000000,1765,gorilla,5,2000000,same orientation
gorilla,13,85000000,2370,chimp,13,84000000,same orientation
human,3,107000000,441,chimp,3,109000000,same orientation
human,15,59000000,2212,chimp,15,57000000,inversed
human,15,59000000,343,gorilla,15,61000000,inversed
human,2,86000000,1932,chimp,2A,87000000,same orientation
human,2,86000000,1859,gorilla,2A,87000000,same orientation
chimp,2B,18000000,2288,human,2,141000000,same orientation
chimp,2B,18000000,1242,human,18,15000000,same orientation
chimp,2B,18000000,390,human,9,40000000,same orientation
chimp,2B,18000000,387,gorilla,9,41000000,same orientation
chimp,2B,18000000,320,gorilla,14,0,same orientation
human,5,171000000,2079,chimp,5,174000000,same orientation
chimp,12,68000000,2254,human,12,96000000,same orientation
chimp,12,68000000,632,human,12,97000000,same orientation
chimp,7,62000000,1841,gorilla,7,62000000,same orientation
gorilla,9,14000000,2241,human,9,22000000,inversed
gorilla,9,14000000,2167,chimp,9,18000000,inversed
chimp,6,146000000,2463,human,6,116000000,inversed
human,18,67000000,1742,gorilla,18,71000000,same orientation
human,18,67000000,397,gorilla,18,70000000,same orientation
human,10,33000000,2194,chimp,10,22000000,same orientation
human,8,49000000,2560,chimp,8,50000000,same orientation
human,8,49000000,2099,gorilla,8,50000000,same orientation
chimp,8,31000000,2329,human,8,27000000,inversed
chimp,8,31000000,1880,gorilla,8,28000000,inversed
human,5,121000000,2376,chimp,5,101000000,inversed
human,5,121000000,2194,gorilla,5,88000000,inversed
human,X,60000000,1968,chimp,X,63000000,same orientation
human,X,60000000,1559,gorilla,X,64000000,same orientation
chimp,X,49000000,2196,human,X,7000000,inversed
chimp,X,49000000,2158,gorilla,X,9000000,inversed
gorilla,18,24000000,1905,human,18,35000000,inversed
gorilla,9,77000000,2247,chimp,9,72000000,inversed
gorilla,9,77000000,2227,human,9,68000000,inversed
chimp,17,60000000,1878,gorilla,5,3000000,inversed
human,X,132000000,2394,gorilla,X,141000000,same orientation
chimp,1,87000000,2629,human,1,101000000,same orientation
chimp,13,36000000,2575,gorilla,13,37000000,inversed
human,4,63000000,1894,gorilla,4,74000000,same orientation
gorilla,7,144000000,2276,human,7,139000000,same orientation
gorilla,7,144000000,2206,chimp,7,146000000,same orientation
gorilla,15,60000000,2116,human,15,57000000,same orientation
human,8,101000000,2704,chimp,8,122000000,inversed
gorilla,1,132000000,1999,chimp,1,128000000,same orientation
gorilla,1,132000000,1971,human,1,124000000,same orientation
chimp,8,99000000,2528,human,8,123000000,inversed
chimp,8,99000000,2073,gorilla,8,127000000,inversed
gorilla,5,62000000,2097,human,17,17000000,inversed
human,9,28000000,2170,chimp,9,24000000,same orientation
human,11,52000000,2569,chimp,11,52000000,same orientation
human,11,52000000,1887,gorilla,11,52000000,same orientation
human,1,171000000,1569,gorilla,1,154000000,inversed
gorilla,1,34000000,1806,human,1,37000000,inversed
gorilla,1,34000000,1696,chimp,1,31000000,inversed
gorilla,15,57000000,1741,human,15,54000000,same orientation
gorilla,15,57000000,1652,chimp,15,55000000,same orientation
human,19,31000000,1665,gorilla,19,31000000,same orientation
gorilla,1,103000000,2243,chimp,1,92000000,inversed
gorilla,1,103000000,2112,human,1,85000000,inversed
chimp,7,196000000,2081,human,7,69000000,inversed
gorilla,8,86000000,1925,human,8,83000000,same orientation
human,4,54000000,2159,gorilla,4,65000000,same orientation
gorilla,15,48000000,2131,human,15,26000000,inversed
human,1,149000000,310,chimp,1,172000000,same orientation
chimp,6,119000000,2206,gorilla,6,118000000,same orientation
human,X,57000000,1798,gorilla,X,61000000,same orientation
human,X,57000000,1468,chimp,X,59000000,same orientation
human,2,220000000,2137,chimp,2B,117000000,inversed
human,2,220000000,2110,gorilla,2B,118000000,inversed
human,22,28000000,1684,chimp,22,28000000,inversed
human,22,28000000,1537,gorilla,22,29000000,inversed
chimp,1,189000000,1282,gorilla,1,193000000,same orientation
gorilla,2A,59000000,2271,human,2,57000000,same orientation
human,10,15000000,2310,gorilla,10,24000000,inversed
human,18,56000000,2407,chimp,18,59000000,inversed
human,18,56000000,463,gorilla,18,59000000,inversed
chimp,9,3000000,2364,gorilla,9,29000000,inversed
gorilla,14,36000000,1517,human,14,35000000,same orientation
gorilla,14,36000000,1513,chimp,14,36000000,same orientation
gorilla,X,149000000,2066,human,X,139000000,same orientation
human,18,50000000,2288,gorilla,18,53000000,same orientation
gorilla,5,153000000,1756,human,5,157000000,inversed
gorilla,5,153000000,1734,chimp,5,145000000,inversed
chimp,2B,112000000,2686,human,2,212000000,inversed
gorilla,11,129000000,2256,chimp,11,91000000,inversed
chimp,9,108000000,460,gorilla,9,116000000,same orientation
chimp,X,27000000,2197,human,X,29000000,inversed
chimp,X,27000000,1973,gorilla,X,31000000,inversed
human,8,5000000,1547,chimp,8,4000000,inversed
human,8,5000000,1112,gorilla,8,4000000,inversed
gorilla,7,34000000,1654,chimp,7,32000000,same orientation
gorilla,7,34000000,1641,human,7,33000000,same orientation
chimp,6,56000000,1648,gorilla,6,56000000,same orientation
chimp,3,49000000,1671,gorilla,3,49000000,same orientation
chimp,16,43000000,1099,human,7,57000000,same orientation
chimp,16,43000000,704,human,16,33000000,same orientation
chimp,16,43000000,687,chimp,7,207000000,same orientation
chimp,16,43000000,678,human,7,58000000,same orientation
chimp,16,43000000,643,gorilla,2A,91000000,same orientation
chimp,16,43000000,627,chimp,7,210000000,same orientation
chimp,16,43000000,551,human,2,140000000,same orientation
chimp,16,43000000,542,chimp,10,135000000,same orientation
chimp,16,43000000,512,gorilla,16,33000000,same orientation
gorilla,22,34000000,1399,human,22,32000000,inversed
gorilla,22,34000000,1252,chimp,22,33000000,inversed
chimp,6,128000000,2588,human,6,133000000,inversed
chimp,3,192000000,1894,gorilla,3,192000000,same orientation
gorilla,2B,25000000,2130,human,2,135000000,inversed
gorilla,2B,25000000,380,human,18,14000000,inversed
gorilla,2B,25000000,342,gorilla,18,14000000,inversed
chimp,20,39000000,2471,human,20,35000000,same orientation
chimp,20,39000000,1956,gorilla,20,38000000,same orientation
gorilla,9,19000000,2204,human,9,17000000,inversed
gorilla,9,19000000,2127,chimp,9,13000000,inversed
human,19,41000000,2511,chimp,19,31000000,inversed
chimp,7,37000000,2084,gorilla,7,38000000,same orientation
chimp,7,37000000,2037,human,7,37000000,same orientation
gorilla,6,55000000,1656,chimp,6,54000000,same orientation
gorilla,6,55000000,441,human,6,43000000,same orientation
chimp,1,65000000,2247,gorilla,1,67000000,inversed
chimp,12,89000000,1915,gorilla,12,128000000,inversed
chimp,12,89000000,451,human,12,125000000,inversed
gorilla,2A,0,1803,chimp,2A,1000000,inversed
gorilla,15,26000000,1635,human,15,47000000,inversed
human,2,183000000,2518,chimp,2B,77000000,same orientation
human,2,183000000,2250,gorilla,2B,78000000,same orientation
chimp,3,100000000,2276,gorilla,3,93000000,inversed
chimp,5,33000000,388,gorilla,5,69000000,inversed
gorilla,11,70000000,1353,human,11,81000000,inversed
gorilla,11,70000000,528,chimp,11,70000000,inversed
gorilla,6,62000000,2015,human,6,60000000,same orientation
gorilla,19,33000000,2362,chimp,19,39000000,inversed
chimp,17,15000000,994,gorilla,5,44000000,same orientation
human,14,85000000,1965,chimp,14,87000000,inversed
human,14,85000000,1633,gorilla,14,86000000,inversed
chimp,4,135000000,1996,human,4,131000000,same orientation
chimp,4,135000000,1799,gorilla,4,144000000,same orientation
chimp,9,26000000,1483,gorilla,9,6000000,inversed
chimp,12,101000000,2038,human,12,114000000,inversed
chimp,12,101000000,1919,gorilla,12,116000000,inversed
gorilla,X,18000000,2493,chimp,X,40000000,inversed
chimp,12,21000000,2597,human,12,10000000,inversed
chimp,12,21000000,2099,gorilla,12,10000000,inversed
chimp,12,21000000,255,gorilla,12,11000000,inversed
chimp,1,229000000,899,human,1,23000000,inversed
chimp,1,229000000,416,gorilla,9,41000000,inversed
chimp,1,229000000,336,gorilla,1,26000000,inversed
chimp,1,229000000,329,chimp,4,132000000,inversed
chimp,1,229000000,317,human,4,128000000,inversed
human,18,38000000,2077,chimp,18,18000000,inversed
human,18,38000000,1867,gorilla,18,21000000,inversed
chimp,16,74000000,1610,gorilla,16,76000000,same orientation
chimp,16,74000000,1566,human,16,71000000,same orientation
chimp,16,77000000,1947,human,16,74000000,inversed
chimp,16,77000000,1549,gorilla,16,79000000,inversed
human,8,119000000,2225,gorilla,8,122000000,same orientation
human,3,85000000,2596,chimp,3,86000000,same orientation
human,3,85000000,2248,gorilla,3,87000000,same orientation
gorilla,3,129000000,1852,human,3,126000000,same orientation
gorilla,3,129000000,1814,chimp,3,129000000,same orientation
gorilla,4,75000000,1856,chimp,4,63000000,inversed
chimp,6,61000000,1211,human,6,65000000,same orientation
chimp,2A,80000000,2400,human,2,78000000,same orientation
chimp,2A,80000000,2132,gorilla,2A,79000000,same orientation
gorilla,22,19000000,1537,human,22,18000000,same orientation
chimp,8,9000000,1912,gorilla,8,9000000,same orientation
gorilla,5,98000000,1983,chimp,5,111000000,same orientation
