sp,chr,loc,score,msp,mchr,mloc,color
human,16,49850000,2318,chimp,16,51700000,same orientation
human,16,49850000,625,chimp,16,51650000,same orientation
gorilla,16,79100000,2690,chimp,16,77000000,inversed
human,16,45150000,2934,chimp,16,46950000,same orientation
human,16,45150000,2846,gorilla,16,49200000,same orientation
human,16,70550000,2961,gorilla,16,66550000,inversed
human,16,70550000,2032,chimp,16,64200000,inversed
human,16,70550000,1211,chimp,16,64150000,inversed
human,16,250000,2804,chimp,16,2600000,inversed
human,16,250000,1716,gorilla,16,2500000,inversed
human,16,250000,729,gorilla,16,2550000,inversed
human,16,26250000,2596,chimp,16,22150000,inversed
human,16,26250000,701,chimp,16,22200000,inversed
human,16,38450000,2994,gorilla,16,42300000,same orientation
gorilla,16,57250000,2234,chimp,16,54900000,same orientation
gorilla,16,57250000,1446,human,16,52900000,same orientation
gorilla,16,57250000,855,human,16,52950000,same orientation
human,16,51750000,2858,chimp,16,53650000,same orientation
human,16,51750000,2101,gorilla,16,55900000,same orientation
human,16,51750000,621,gorilla,16,55850000,same orientation
gorilla,16,54250000,585,human,16,50150000,inversed
gorilla,16,54250000,577,chimp,16,52000000,inversed
gorilla,16,60250000,728,human,16,55900000,same orientation
gorilla,16,60250000,418,human,16,55950000,same orientation
chimp,16,37450000,2851,gorilla,16,40000000,inversed
chimp,16,67300000,2278,human,16,67500000,inversed
chimp,16,67300000,440,human,16,67450000,inversed
chimp,16,12650000,2829,human,16,12250000,same orientation
chimp,16,12650000,1314,gorilla,16,12700000,same orientation
chimp,16,12650000,994,gorilla,16,12750000,same orientation
gorilla,16,43450000,2698,human,16,39550000,same orientation
gorilla,16,43450000,640,human,16,39600000,same orientation
chimp,16,61350000,3228,human,16,56900000,inversed
chimp,16,61350000,1741,gorilla,16,61300000,inversed
chimp,16,61350000,663,human,16,56850000,inversed
human,16,72150000,2431,gorilla,16,76950000,same orientation
human,16,72150000,1796,chimp,16,74650000,same orientation
human,16,72150000,828,chimp,16,74600000,same orientation
chimp,16,31400000,2398,gorilla,16,18800000,inversed
chimp,16,31400000,564,human,16,30200000,inversed
chimp,16,31050000,1487,gorilla,16,33450000,same orientation
chimp,16,31050000,1097,gorilla,16,33500000,same orientation
chimp,16,31050000,308,gorilla,16,32500000,same orientation
gorilla,16,18200000,2185,chimp,16,17550000,same orientation
gorilla,16,46100000,2437,chimp,16,43900000,same orientation
gorilla,16,46100000,2411,human,16,42150000,same orientation
human,16,29700000,290,gorilla,16,33700000,same orientation
human,16,29700000,257,gorilla,16,33100000,same orientation
gorilla,16,67500000,1528,human,16,69650000,inversed
gorilla,16,67500000,688,human,16,69600000,inversed
gorilla,16,67500000,657,chimp,16,65150000,inversed
gorilla,16,37250000,3011,human,16,32450000,inversed
gorilla,16,37250000,2884,chimp,16,40200000,inversed
human,16,54200000,2943,chimp,16,56200000,same orientation
human,16,54200000,1657,gorilla,16,58550000,same orientation
human,16,54200000,516,gorilla,16,58500000,same orientation
human,16,38650000,2690,chimp,16,34950000,inversed
human,16,68100000,2237,gorilla,16,69050000,inversed
human,16,68100000,2204,chimp,16,66700000,inversed
human,16,68100000,511,chimp,16,66650000,inversed
gorilla,16,61550000,2988,chimp,16,61100000,inversed
gorilla,16,65700000,2592,human,16,61100000,same orientation
gorilla,16,65700000,2540,chimp,16,63300000,same orientation
gorilla,16,65700000,312,chimp,16,63350000,same orientation
chimp,16,45900000,2805,human,16,44100000,same orientation
chimp,16,45900000,2585,gorilla,16,48150000,same orientation
chimp,16,17300000,1912,gorilla,16,17950000,same orientation
chimp,16,17300000,694,gorilla,16,17900000,same orientation
chimp,16,49000000,3237,human,16,47150000,same orientation
chimp,16,49000000,1950,gorilla,16,51200000,same orientation
chimp,16,49000000,751,gorilla,16,51250000,same orientation
human,16,3950000,1737,chimp,16,4200000,same orientation
human,16,3950000,1583,gorilla,16,4150000,same orientation
human,16,3950000,489,chimp,16,4150000,same orientation
human,16,3950000,411,gorilla,16,4100000,same orientation
chimp,16,72900000,2726,human,16,64150000,same orientation
chimp,16,20300000,1853,human,16,19300000,same orientation
chimp,16,20300000,1507,gorilla,16,21300000,same orientation
chimp,16,20300000,1157,gorilla,16,21350000,same orientation
chimp,16,20300000,1107,human,16,19250000,same orientation
human,16,63200000,2504,chimp,16,71950000,same orientation
chimp,16,79700000,1378,gorilla,16,78800000,inversed
chimp,16,79700000,1260,human,16,73900000,inversed
chimp,16,79700000,1120,human,16,73850000,inversed
chimp,16,79700000,1005,gorilla,16,78750000,inversed
chimp,16,79700000,326,gorilla,16,29950000,inversed
gorilla,16,9450000,1766,human,16,9050000,same orientation
gorilla,16,9450000,1474,chimp,16,9450000,same orientation
gorilla,16,9450000,492,chimp,16,9400000,same orientation
chimp,16,29050000,2214,gorilla,16,30400000,inversed
gorilla,16,52700000,2735,human,16,48600000,same orientation
gorilla,16,52700000,1957,chimp,16,50450000,same orientation
gorilla,16,52700000,673,chimp,16,50400000,same orientation
gorilla,16,71100000,1504,chimp,16,68700000,same orientation
gorilla,16,71100000,1197,chimp,16,68750000,same orientation
chimp,16,81050000,737,human,16,15300000,inversed
chimp,16,81050000,733,gorilla,16,16450000,inversed
chimp,16,81050000,508,human,16,32000000,inversed
chimp,16,2300000,1201,gorilla,16,2250000,inversed
chimp,16,2300000,827,gorilla,16,2200000,inversed
chimp,16,2300000,648,gorilla,16,19000000,inversed
chimp,16,2300000,574,gorilla,16,1300000,inversed
chimp,16,2300000,349,gorilla,16,16400000,inversed
chimp,16,2300000,326,human,16,15300000,inversed
chimp,16,350000,1262,gorilla,16,500000,inversed
chimp,16,350000,1259,human,16,2150000,inversed
human,16,15500000,2611,chimp,16,16450000,inversed
human,16,40400000,2171,gorilla,16,44300000,same orientation
human,16,40400000,686,gorilla,16,44350000,same orientation
gorilla,16,35250000,2709,chimp,16,41850000,same orientation
gorilla,16,35250000,638,chimp,16,41900000,same orientation
gorilla,16,35250000,355,chimp,16,41800000,same orientation
chimp,16,13900000,672,gorilla,16,14000000,inversed
gorilla,16,67850000,2803,chimp,16,65450000,same orientation
chimp,16,19550000,2788,human,16,18500000,same orientation
chimp,16,19550000,2633,gorilla,16,20550000,same orientation
chimp,16,47650000,2553,gorilla,16,49900000,same orientation
chimp,16,47650000,1929,human,16,45850000,same orientation
chimp,16,47650000,745,human,16,45800000,same orientation
gorilla,16,16450000,2082,human,16,15300000,same orientation
gorilla,16,16450000,476,chimp,16,15550000,same orientation
gorilla,16,48750000,1797,human,16,44650000,same orientation
gorilla,16,48750000,1630,chimp,16,46500000,same orientation
gorilla,16,48750000,921,chimp,16,46450000,same orientation
gorilla,16,48750000,761,human,16,44700000,same orientation
human,16,27150000,2573,chimp,16,28450000,same orientation
gorilla,16,26800000,2420,chimp,16,24350000,inversed
chimp,16,68950000,1756,gorilla,16,71300000,same orientation
chimp,16,15950000,2210,gorilla,16,16050000,inversed
chimp,16,15950000,1456,human,16,14950000,inversed
chimp,16,15950000,1211,human,16,15000000,inversed
chimp,16,64050000,809,gorilla,16,66400000,same orientation
human,16,56650000,1421,chimp,16,21400000,inversed
human,16,56650000,1125,chimp,16,18400000,inversed
human,16,56650000,886,gorilla,16,30250000,inversed
human,16,56650000,760,gorilla,16,22450000,inversed
human,16,56650000,729,chimp,16,81400000,inversed
human,16,56650000,524,gorilla,16,60400000,inversed
human,16,56650000,460,chimp,16,81450000,inversed
human,16,56650000,456,chimp,16,79250000,inversed
human,16,56650000,456,gorilla,16,30150000,inversed
chimp,16,53050000,3083,human,16,51150000,same orientation
chimp,16,53050000,1495,gorilla,16,55300000,same orientation
chimp,16,53050000,1067,gorilla,16,55250000,same orientation
chimp,16,53050000,275,human,16,51100000,same orientation
chimp,16,17700000,3064,human,16,16250000,inversed
chimp,16,4200000,2344,human,16,3950000,same orientation
chimp,16,4200000,2251,gorilla,16,4150000,same orientation
gorilla,16,24650000,2689,chimp,16,26450000,inversed
human,16,900000,1570,chimp,16,1750000,same orientation
human,16,900000,1140,chimp,16,1800000,same orientation
gorilla,16,21450000,2878,human,16,19400000,same orientation
gorilla,16,21450000,2021,chimp,16,20400000,same orientation
gorilla,16,21450000,889,chimp,16,20450000,same orientation
human,16,10150000,2686,gorilla,16,10500000,same orientation
human,16,10150000,2681,chimp,16,10500000,same orientation
human,16,10150000,294,chimp,16,10550000,same orientation
gorilla,16,74100000,2528,human,16,63150000,inversed
gorilla,16,74100000,2132,chimp,16,71900000,inversed
gorilla,16,74100000,487,chimp,16,71950000,inversed
gorilla,16,72150000,2685,human,16,65050000,inversed
human,16,1600000,877,chimp,16,1200000,same orientation
chimp,16,70650000,2637,human,16,61900000,same orientation
gorilla,16,22600000,2590,human,16,20550000,inversed
gorilla,16,22600000,312,human,16,20600000,inversed
human,16,33750000,1422,chimp,16,36550000,same orientation
human,16,33750000,1389,chimp,16,36500000,same orientation
human,16,52850000,708,chimp,16,81300000,inversed
human,16,52850000,290,chimp,16,81350000,inversed
gorilla,16,50850000,1795,human,16,46800000,same orientation
gorilla,16,50850000,1537,chimp,16,48600000,same orientation
gorilla,16,50850000,1378,chimp,16,48650000,same orientation
gorilla,16,50850000,1104,human,16,46750000,same orientation
gorilla,16,7200000,1602,chimp,16,7200000,same orientation
gorilla,16,7200000,1095,human,16,6900000,same orientation
gorilla,16,7200000,820,human,16,6850000,same orientation
gorilla,16,7200000,433,chimp,16,7250000,same orientation
chimp,16,41000000,2893,gorilla,16,36500000,inversed
human,16,4350000,2313,chimp,16,4600000,same orientation
human,16,4350000,2019,gorilla,16,4550000,same orientation
chimp,16,75300000,2833,human,16,72800000,same orientation
chimp,16,75300000,1560,gorilla,16,77600000,same orientation
chimp,16,75300000,1078,gorilla,16,77650000,same orientation
gorilla,16,47650000,443,human,16,43600000,inversed
gorilla,16,47650000,418,chimp,16,45400000,inversed
chimp,16,27900000,2347,human,16,26950000,same orientation
chimp,16,27900000,569,human,16,27000000,same orientation
human,16,64800000,1487,chimp,16,73550000,same orientation
human,16,64800000,1234,chimp,16,73600000,same orientation
human,16,36200000,3188,chimp,16,39000000,same orientation
gorilla,16,59400000,2464,chimp,16,57150000,same orientation
gorilla,16,59400000,1444,human,16,55100000,same orientation
gorilla,16,59400000,1094,human,16,55150000,same orientation
human,16,37800000,3095,chimp,16,35850000,inversed
human,16,37800000,540,chimp,16,35800000,inversed
gorilla,16,2750000,1467,chimp,16,2850000,same orientation
gorilla,16,2750000,422,human,16,2650000,same orientation
gorilla,16,2750000,348,human,16,2700000,same orientation
gorilla,16,2750000,344,human,16,50000,same orientation
gorilla,16,2750000,341,chimp,16,81500000,same orientation
gorilla,16,2750000,335,chimp,16,2900000,same orientation
chimp,16,24050000,2486,gorilla,16,27100000,inversed
chimp,16,24050000,2026,human,16,24400000,inversed
chimp,16,24050000,612,human,16,24450000,inversed
human,16,3250000,1610,chimp,16,78550000,inversed
human,16,3250000,1395,chimp,16,78600000,inversed
chimp,16,22000000,1120,human,16,26400000,inversed
chimp,16,22000000,699,gorilla,16,29150000,inversed
chimp,16,22000000,553,gorilla,16,22300000,inversed
chimp,16,22000000,515,gorilla,16,30100000,inversed
chimp,16,22000000,420,gorilla,16,23100000,inversed
chimp,16,22000000,319,human,16,20150000,inversed
chimp,16,22000000,267,gorilla,16,22400000,inversed
chimp,16,56500000,2329,human,16,54500000,same orientation
chimp,16,56500000,1171,gorilla,16,58750000,same orientation
human,16,31850000,1968,gorilla,16,34800000,inversed
human,16,31850000,1239,chimp,16,41450000,inversed
human,16,31850000,1057,chimp,16,41500000,inversed
chimp,16,72750000,1826,gorilla,16,73250000,inversed
chimp,16,72750000,1059,gorilla,16,73200000,inversed
chimp,16,1750000,2808,human,16,850000,same orientation
gorilla,16,41600000,2502,chimp,16,35900000,inversed
gorilla,16,41600000,598,chimp,16,35850000,inversed
gorilla,16,28800000,2199,human,16,26050000,same orientation
gorilla,16,24100000,2070,human,16,21550000,same orientation
human,16,15400000,1102,gorilla,16,16550000,same orientation
human,16,15400000,1065,chimp,16,16150000,same orientation
human,16,15400000,1000,chimp,16,16550000,same orientation
human,16,15400000,587,gorilla,16,16500000,same orientation
human,16,15400000,402,chimp,16,16100000,same orientation
gorilla,16,13100000,1127,human,16,12600000,same orientation
gorilla,16,13100000,1024,chimp,16,13000000,same orientation
chimp,16,59450000,2564,gorilla,16,63250000,inversed
chimp,16,59450000,1826,human,16,58750000,inversed
chimp,16,59450000,1270,human,16,58700000,inversed
chimp,16,59450000,264,gorilla,16,63200000,inversed
human,16,22400000,2153,gorilla,16,24950000,same orientation
human,16,22400000,534,chimp,16,26100000,same orientation
gorilla,16,43850000,2246,chimp,16,33650000,inversed
gorilla,16,43850000,555,chimp,16,33700000,inversed
human,16,63150000,2654,gorilla,16,74100000,inversed
chimp,16,70900000,2523,gorilla,16,75100000,inversed
human,16,33600000,3065,gorilla,16,36100000,inversed
human,16,33600000,309,gorilla,16,43150000,inversed
human,16,33600000,294,gorilla,16,53100000,inversed
human,16,33600000,269,chimp,16,31800000,inversed
human,16,33600000,265,chimp,16,43800000,inversed
human,16,33600000,260,chimp,16,46750000,inversed
human,16,35650000,2368,gorilla,16,39000000,inversed
human,16,35650000,600,gorilla,16,38950000,inversed
human,16,53800000,1639,chimp,16,55750000,same orientation
human,16,53800000,1582,gorilla,16,58100000,same orientation
human,16,53800000,1237,chimp,16,55800000,same orientation
human,16,53800000,933,gorilla,16,58150000,same orientation
chimp,16,76950000,2358,human,16,74250000,inversed
chimp,16,76950000,1898,gorilla,16,79150000,inversed
human,16,65100000,2434,chimp,16,69800000,inversed
human,16,65100000,2410,gorilla,16,72100000,inversed
chimp,16,42300000,2006,gorilla,16,35550000,same orientation
chimp,16,42300000,908,human,16,31050000,same orientation
chimp,16,42300000,834,human,16,30900000,same orientation
chimp,16,42300000,653,gorilla,16,33700000,same orientation
chimp,16,42300000,583,gorilla,16,35600000,same orientation
chimp,16,42300000,533,gorilla,16,33150000,same orientation
chimp,16,42300000,477,human,16,31100000,same orientation
chimp,16,42300000,393,gorilla,16,33100000,same orientation
chimp,16,10900000,1796,human,16,10500000,same orientation
chimp,16,10900000,915,gorilla,16,10850000,same orientation
chimp,16,10900000,520,gorilla,16,10900000,same orientation
gorilla,16,70950000,1794,human,16,66250000,inversed
gorilla,16,70950000,1075,human,16,66200000,inversed
chimp,16,43700000,2317,gorilla,16,45850000,same orientation
chimp,16,43700000,1844,human,16,41950000,same orientation
chimp,16,43700000,1292,human,16,41900000,same orientation
chimp,16,43700000,639,gorilla,16,45900000,same orientation
chimp,16,43800000,362,gorilla,16,19350000,inversed
chimp,16,43800000,307,human,16,33600000,inversed
chimp,16,43800000,288,human,16,44850000,inversed
chimp,16,43800000,278,human,16,32950000,inversed
chimp,16,43800000,259,human,16,64600000,inversed
chimp,16,43800000,254,human,16,48850000,inversed
chimp,16,43800000,252,human,16,31650000,inversed
chimp,16,43800000,252,human,16,19550000,inversed
gorilla,16,3200000,1634,chimp,16,78800000,inversed
gorilla,16,3200000,744,chimp,16,78750000,inversed
gorilla,16,31300000,2224,chimp,16,29450000,same orientation
gorilla,16,31300000,2008,human,16,28100000,same orientation
gorilla,16,31300000,324,human,16,28150000,same orientation
human,16,56000000,2359,chimp,16,58050000,inversed
human,16,56000000,1910,gorilla,16,60300000,inversed
gorilla,16,12500000,1884,chimp,16,12400000,same orientation
gorilla,16,12500000,1389,human,16,12050000,same orientation
gorilla,16,12500000,1330,chimp,16,80050000,same orientation
gorilla,16,12500000,798,human,16,12000000,same orientation
gorilla,16,12500000,624,human,16,19900000,same orientation
gorilla,16,12500000,507,chimp,16,21050000,same orientation
gorilla,16,12500000,318,chimp,16,12450000,same orientation
human,16,23000000,2078,gorilla,16,25600000,same orientation
gorilla,16,25500000,2797,human,16,22900000,same orientation
gorilla,16,24000000,1890,chimp,16,27100000,inversed
gorilla,16,24000000,1502,human,16,20800000,inversed
gorilla,16,24000000,589,human,16,20850000,inversed
gorilla,16,24000000,411,chimp,16,27050000,inversed
human,16,18900000,2348,gorilla,16,20950000,same orientation
human,16,18900000,1499,chimp,16,19900000,same orientation
human,16,18900000,1178,chimp,16,19950000,same orientation
gorilla,16,74750000,2320,chimp,16,71250000,inversed
gorilla,16,74750000,2245,human,16,62500000,inversed
human,16,14000000,2099,chimp,16,14400000,same orientation
human,16,14000000,1573,gorilla,16,14600000,same orientation
human,16,14000000,1182,gorilla,16,14550000,same orientation
human,16,14000000,526,chimp,16,14450000,same orientation
chimp,16,57100000,2122,human,16,55050000,same orientation
chimp,16,57100000,1821,gorilla,16,59350000,same orientation
chimp,16,57100000,363,human,16,55100000,same orientation
chimp,16,17150000,3106,human,16,16800000,inversed
human,16,37600000,2860,gorilla,16,41400000,same orientation
chimp,16,11100000,518,gorilla,16,16900000,inversed
chimp,16,11100000,413,gorilla,16,68100000,inversed
chimp,16,11100000,269,gorilla,16,11050000,inversed
gorilla,16,54900000,2713,human,16,50750000,same orientation
gorilla,16,54900000,2132,chimp,16,52650000,same orientation
gorilla,16,54900000,667,chimp,16,52600000,same orientation
chimp,16,41650000,1461,human,16,31700000,inversed
gorilla,16,3350000,1106,human,16,3200000,same orientation
gorilla,16,3350000,1064,chimp,16,3450000,same orientation
gorilla,16,3350000,767,chimp,16,3400000,same orientation
gorilla,16,3350000,690,human,16,3150000,same orientation
gorilla,16,58000000,1953,human,16,53650000,same orientation
gorilla,16,58000000,1300,chimp,16,55650000,same orientation
human,16,5750000,1872,chimp,16,6050000,same orientation
human,16,5750000,1730,gorilla,16,6050000,same orientation
human,16,5750000,254,gorilla,16,6000000,same orientation
gorilla,16,72700000,1972,chimp,16,73300000,inversed
gorilla,16,72700000,1378,human,16,64500000,inversed
gorilla,16,72700000,1125,human,16,64550000,inversed
gorilla,16,72700000,451,chimp,16,73250000,inversed
chimp,16,74700000,2429,human,16,72200000,same orientation
chimp,16,74700000,2180,gorilla,16,77000000,same orientation
human,16,67900000,2463,gorilla,16,69250000,inversed
human,16,67900000,1780,chimp,16,66900000,inversed
human,16,67900000,646,chimp,16,66850000,inversed
human,16,32350000,1656,chimp,16,40100000,same orientation
human,16,32350000,1421,chimp,16,40050000,same orientation
human,16,60950000,1948,chimp,16,63150000,same orientation
human,16,60950000,918,gorilla,16,65500000,same orientation
human,16,60950000,838,gorilla,16,65550000,same orientation
human,16,60950000,299,chimp,16,63100000,same orientation
gorilla,16,6600000,2012,human,16,6300000,same orientation
gorilla,16,6600000,1514,chimp,16,6600000,same orientation
gorilla,16,6600000,1155,chimp,16,6650000,same orientation
gorilla,16,6600000,520,human,16,6250000,same orientation
chimp,16,24600000,2419,gorilla,16,26550000,inversed
chimp,16,24600000,1853,human,16,23850000,inversed
chimp,16,24600000,927,human,16,23900000,inversed
chimp,16,24600000,287,gorilla,16,26500000,inversed
gorilla,16,17750000,1933,human,16,16850000,inversed
gorilla,16,17750000,892,human,16,16800000,inversed
gorilla,16,80750000,2529,chimp,16,78500000,same orientation
chimp,16,71250000,1542,human,16,62450000,same orientation
chimp,16,71250000,1136,human,16,62500000,same orientation
gorilla,16,20050000,2167,human,16,18000000,same orientation
gorilla,16,20050000,1152,chimp,16,19000000,same orientation
gorilla,16,20050000,1070,chimp,16,19050000,same orientation
gorilla,16,41050000,3056,chimp,16,36400000,inversed
human,16,11550000,2614,chimp,16,11950000,same orientation
human,16,11550000,2128,gorilla,16,11950000,same orientation
chimp,16,52450000,2855,gorilla,16,54700000,same orientation
chimp,16,52450000,2841,human,16,50550000,same orientation
chimp,16,52450000,479,human,16,50600000,same orientation
chimp,16,22650000,2229,gorilla,16,28500000,inversed
chimp,16,22650000,2223,human,16,25750000,inversed
chimp,16,22650000,797,human,16,25800000,inversed
chimp,16,22650000,399,gorilla,16,28450000,inversed
chimp,16,72100000,3067,gorilla,16,73900000,inversed
chimp,16,5600000,1824,gorilla,16,5550000,same orientation
chimp,16,5600000,1328,human,16,5250000,same orientation
chimp,16,5600000,780,human,16,5300000,same orientation
human,16,61950000,1541,gorilla,16,75300000,inversed
human,16,61950000,607,gorilla,16,75350000,inversed
chimp,16,65450000,1524,gorilla,16,67800000,same orientation
chimp,16,65450000,1265,gorilla,16,67850000,same orientation
human,16,63700000,2156,gorilla,16,73550000,inversed
human,16,63700000,468,gorilla,16,73500000,inversed
human,16,33050000,2390,gorilla,16,36650000,inversed
human,16,33050000,599,gorilla,16,36700000,inversed
gorilla,16,49350000,3153,chimp,16,47100000,same orientation
gorilla,16,49350000,2771,human,16,45300000,same orientation
gorilla,16,49350000,563,human,16,45250000,same orientation
gorilla,16,13950000,1539,chimp,16,13800000,inversed
gorilla,16,13950000,1525,human,16,13400000,inversed
chimp,16,59200000,2360,gorilla,16,63500000,inversed
chimp,16,59200000,1789,human,16,58950000,inversed
chimp,16,59200000,1564,human,16,59000000,inversed
chimp,16,59200000,512,gorilla,16,63450000,inversed
human,16,26550000,2383,chimp,16,28050000,same orientation
chimp,16,14850000,2482,human,16,14400000,same orientation
chimp,16,14850000,1707,gorilla,16,15000000,same orientation
chimp,16,14850000,500,gorilla,16,15050000,same orientation
chimp,16,46250000,2669,human,16,44450000,same orientation
chimp,16,46250000,1999,gorilla,16,48500000,same orientation
chimp,16,18150000,1327,gorilla,16,18700000,same orientation
chimp,16,18150000,788,human,16,15900000,same orientation
chimp,16,26850000,2426,human,16,21700000,inversed
chimp,16,26850000,1310,gorilla,16,24200000,inversed
chimp,16,26850000,1133,gorilla,16,24250000,inversed
human,16,35000000,2383,gorilla,16,39650000,inversed
human,16,57950000,1520,gorilla,16,62450000,same orientation
human,16,57950000,1450,gorilla,16,62400000,same orientation
human,16,65750000,2981,chimp,16,69100000,inversed
human,16,65750000,2378,gorilla,16,71450000,inversed
gorilla,16,34650000,1451,human,16,30850000,same orientation
gorilla,16,34650000,1249,human,16,30800000,same orientation
gorilla,16,34650000,1223,chimp,16,31850000,same orientation
gorilla,16,34650000,982,human,16,30400000,same orientation
gorilla,16,34650000,814,human,16,30750000,same orientation
gorilla,16,34650000,704,chimp,16,31700000,same orientation
gorilla,16,34650000,654,chimp,16,31750000,same orientation
chimp,16,81000000,1225,human,16,20750000,same orientation
chimp,16,81000000,515,human,16,21500000,same orientation
chimp,16,81000000,449,human,16,21550000,same orientation
gorilla,16,29000000,3206,chimp,16,22150000,inversed
gorilla,16,70500000,2282,chimp,16,68100000,same orientation
human,16,20450000,2686,chimp,16,21700000,inversed
human,16,20450000,1608,gorilla,16,22700000,inversed
human,16,20450000,873,gorilla,16,22750000,inversed
human,16,20450000,276,chimp,16,21650000,inversed
human,16,70300000,2605,gorilla,16,66800000,inversed
human,16,70300000,2036,chimp,16,64450000,inversed
human,16,70300000,1168,chimp,16,64400000,inversed
human,16,70300000,330,gorilla,16,66850000,inversed
gorilla,16,600000,1326,chimp,16,600000,same orientation
human,16,41000000,1726,gorilla,16,44900000,same orientation
human,16,41000000,746,gorilla,16,44850000,same orientation
gorilla,16,79750000,2102,chimp,16,77400000,inversed
gorilla,16,79750000,1727,human,16,75750000,inversed
gorilla,16,79750000,647,human,16,75800000,inversed
gorilla,16,79750000,339,chimp,16,77450000,inversed
chimp,16,7950000,2444,gorilla,16,7900000,same orientation
chimp,16,7950000,1703,human,16,7600000,same orientation
chimp,16,7950000,895,human,16,7550000,same orientation
gorilla,16,81000000,405,human,16,71000000,inversed
human,16,62600000,2370,chimp,16,71350000,same orientation
human,16,62600000,461,gorilla,16,74650000,same orientation
human,16,62600000,424,gorilla,16,74600000,same orientation
gorilla,16,53300000,2777,human,16,49200000,same orientation
gorilla,16,53300000,1709,chimp,16,51050000,same orientation
gorilla,16,53300000,1078,chimp,16,51000000,same orientation
gorilla,16,53300000,345,human,16,49150000,same orientation
gorilla,16,4950000,2285,human,16,4700000,same orientation
gorilla,16,4950000,1963,chimp,16,5000000,same orientation
gorilla,16,4950000,288,chimp,16,4950000,same orientation
gorilla,16,8050000,2266,human,16,7700000,same orientation
gorilla,16,8050000,2023,chimp,16,8050000,same orientation
gorilla,16,8050000,279,chimp,16,8100000,same orientation
human,16,26400000,2635,chimp,16,22000000,inversed
human,16,26400000,443,chimp,16,22050000,inversed
chimp,16,21700000,1580,gorilla,16,22700000,same orientation
chimp,16,21700000,999,gorilla,16,22750000,same orientation
human,16,400000,2675,chimp,16,2400000,inversed
human,16,400000,2409,gorilla,16,2350000,inversed
chimp,16,37200000,2388,gorilla,16,40250000,inversed
chimp,16,37200000,818,gorilla,16,40200000,inversed
chimp,16,48400000,2842,human,16,46550000,same orientation
chimp,16,48400000,1719,gorilla,16,50650000,same orientation
chimp,16,48400000,1054,gorilla,16,50600000,same orientation
chimp,16,16700000,1787,gorilla,16,17350000,same orientation
chimp,16,16700000,681,human,16,17250000,same orientation
chimp,16,67550000,2365,human,16,67250000,inversed
chimp,16,67550000,527,human,16,67200000,inversed
human,16,55600000,1468,chimp,16,57600000,same orientation
human,16,55600000,1448,chimp,16,57650000,same orientation
human,16,55600000,1283,gorilla,16,59850000,same orientation
human,16,55600000,1242,gorilla,16,59900000,same orientation
chimp,16,39800000,2851,human,16,36950000,same orientation
gorilla,16,47500000,1857,chimp,16,45250000,same orientation
gorilla,16,47500000,1852,human,16,43500000,same orientation
gorilla,16,47500000,609,chimp,16,45300000,same orientation
gorilla,16,47500000,520,human,16,43450000,same orientation
chimp,16,61500000,3004,gorilla,16,61150000,inversed
chimp,16,61500000,2778,human,16,56750000,inversed
gorilla,16,19600000,2235,chimp,16,18600000,same orientation
gorilla,16,19600000,1752,human,16,17600000,same orientation
gorilla,16,19600000,608,human,16,17550000,same orientation
chimp,16,31250000,642,human,16,30100000,inversed
human,16,28300000,2690,chimp,16,29600000,same orientation
human,16,28300000,1733,gorilla,16,31450000,same orientation
human,16,28300000,946,gorilla,16,31500000,same orientation
human,16,28300000,258,chimp,16,29650000,same orientation
gorilla,16,67350000,1562,human,16,69800000,inversed
gorilla,16,67350000,1333,human,16,69750000,inversed
chimp,16,30450000,499,human,16,30100000,same orientation
gorilla,16,37400000,2038,chimp,16,40050000,inversed
gorilla,16,37400000,2013,human,16,32300000,inversed
gorilla,16,37400000,381,human,16,32350000,inversed
gorilla,16,37400000,353,chimp,16,40000000,inversed
gorilla,16,37400000,257,chimp,16,46750000,inversed
human,16,73550000,1725,gorilla,16,78400000,same orientation
human,16,73550000,1117,chimp,16,76050000,same orientation
human,16,73550000,1096,chimp,16,76100000,same orientation
human,16,73550000,307,gorilla,16,78450000,same orientation
chimp,16,13250000,2035,human,16,12800000,same orientation
chimp,16,13250000,1747,gorilla,16,13300000,same orientation
chimp,16,13250000,293,gorilla,16,13350000,same orientation
chimp,16,13250000,287,human,16,12850000,same orientation
chimp,16,41850000,2309,gorilla,16,35200000,same orientation
chimp,16,41850000,1005,gorilla,16,35250000,same orientation
human,16,38000000,2592,chimp,16,35650000,inversed
human,16,38000000,489,chimp,16,35600000,inversed
human,16,50350000,2949,chimp,16,52200000,same orientation
human,16,50350000,1598,gorilla,16,54500000,same orientation
human,16,50350000,1322,gorilla,16,54450000,same orientation
human,16,50350000,336,chimp,16,52250000,same orientation
gorilla,16,61300000,2236,chimp,16,61350000,inversed
gorilla,16,61300000,584,human,16,56850000,inversed
gorilla,16,61650000,2519,human,16,57200000,same orientation
human,16,68750000,1466,chimp,16,66050000,inversed
human,16,68750000,1257,chimp,16,66000000,inversed
human,16,68750000,478,gorilla,16,68350000,inversed
human,16,35950000,2707,chimp,16,38750000,same orientation
human,16,35950000,262,gorilla,16,19350000,same orientation
chimp,16,79150000,1339,gorilla,16,30350000,inversed
chimp,16,79150000,303,gorilla,16,30400000,inversed
human,16,39050000,2269,gorilla,16,42900000,same orientation
gorilla,16,56650000,2530,human,16,52450000,same orientation
